Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
IGHE	18.17410575	19.3650878	54.27863199	25.291882	14.94842
IGHM	21960.79819	162.309451	156.9391502	127.0436672	41.25586808
IGKC	27164.52012	324.3571791	40.36292074	318.0695055	223.333702
IGLL3P	6633.535586	33.45486904	41.51758679	70.0394246	142.2968228
IGSF6	46.07125476	100.2893009	48.71083673	2662.140929	1231.557711
IL12B	105.275436	85.58316556	59.255418	42.42610973	2407.546497
IL12RB2	13.44126834	594.0469774	106.8888316	20.50390251	10.65230466
IL17A	24.10976356	9.511607877	6.560415317	7.929351943	8.556203816
IL18R1	32.74521328	829.4466231	243.8532814	19.50301241	21.814318
IL18RAP	63.16533501	6172.262928	275.2312246	92.02184739	89.09515062
IL1A	207.8094975	81.80415638	89.41077945	61.10993853	387.9719904
IL1B	508.1423339	250.0432905	251.1017935	1257.182131	2781.903216
IL1RL1	161.2444569	65.350782	70.12950502	37.42366918	44.282995
IL21	346.0439646	38.68027919	81.58442785	103.5720427	62.52092002
IL26	6.120665994	7.691378335	9.532387256	3.424557859	4.531899492
IL2RA	151.2654723	42.04435301	360.4452087	25.41115885	2221.900378
IL2RB	2118.459057	18026.39249	2988.605281	321.9612928	366.1434094
IL3	20.12785138	13.59206642	8.603842518	11.52632712	12.94335151
IL4	10.0823446	12.25198156	10.77863651	8.872339575	9.284199738
IL4R	11009.29392	851.30019	1148.814515	1192.215763	2410.484546
IL5	6.618252721	8.169496573	35.07363094	11.47899088	22.53916948
IL5RA	122.2890422	45.67953351	63.93112851	41.02366335	55.86616787
IL7	250.9247833	24.76130902	69.25499148	51.3943268	143.5066148
IL7R	277.7164299	1159.340489	18085.9446	163.3050166	7799.647099
IL9	60.05830259	45.8168679	89.90011254	15.74553195	34.55584304
IRF8	9506.386392	1625.377439	45.41225697	2458.705658	2798.258545
ITK	468.9985735	3056.935046	7704.627853	124.1014103	166.1778128
KCNA3	306.2764477	411.3943392	975.6549806	143.5528595	24.00174244
KCNG2	12.5310046	17.88167287	12.07805481	18.84293691	15.52250872
KIAA0226L	7209.224512	54.34410784	64.8769987	176.3964323	43.42734643
KIAA0754	9.870549848	151.0455484	7.879203828	44.79047534	4.64920776
KIR2DL1	7.406441697	281.9844186	6.332890006	5.116435124	7.023482621
KIR2DL4	331.7763894	602.9726262	79.00529624	128.8246048	151.8311567
KIR2DS4	621.6999538	1172.82887	120.4987696	129.0849772	106.7559176
KIR3DL2	12.24576038	511.2935608	9.251047619	11.38893073	9.637544809
KIRREL	15.52894714	18.20868192	9.694581053	13.64075973	11.31192453
KLRB1	119.5727193	12957.39238	10026.23944	90.24623781	37.00213293
KLRC3	13.84066629	1485.991589	32.02053189	12.58558886	9.447726589
KLRC4	68.25016134	205.1777143	17.67634993	20.05492885	5.35636677
KLRD1	204.0068731	7278.146564	207.8812187	81.02147756	61.79015112
KLRF1	153.1504496	10475.7852	127.2371142	100.1145382	65.02829076
KLRG1	1351.157456	1700.856514	1939.944493	305.4474128	224.2019093
KLRK1	670.2708554	8790.503534	276.2455792	78.91616578	47.2591819
KRT18P50	23.97041806	23.74696304	22.87490438	58.20626127	51.62553838
